City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
149,lompoc,34.6391,-120.4579,22.69,75,0,7.2,US,2024-08-02 00:37:42
150,mana,5.6592,-53.7767,26.11,82,7,2.16,GF,2024-08-02 00:37:43
151,port alfred,-33.5906,26.891,12.32,91,100,0.89,ZA,2024-08-02 00:37:44
152,bousso,10.4795,16.7117,22.74,94,100,2.03,TD,2024-08-02 00:37:45
153,tereze,43.9361,42.4434,12.27,71,1,2.31,RU,2024-08-02 00:37:46
154,thompson,55.7435,-97.8558,23.09,46,40,8.75,CA,2024-08-02 00:37:48
155,miri,4.4148,114.0089,26.08,100,40,1.03,MY,2024-08-02 00:37:49
156,salekhard,66.53,66.6019,15.66,94,100,4.85,RU,2024-08-02 00:37:50
157,international falls,48.6011,-93.411,22.85,64,0,2.01,US,2024-08-02 00:37:51
158,benguela,-12.5763,13.4055,19.06,87,34,2.05,AO,2024-08-02 00:37:53
159,saipan,15.1355,145.701,29.39,84,75,2.57,MP,2024-08-02 00:37:54
160,barra,-11.0894,-43.1417,23.78,48,0,4.06,BR,2024-08-02 00:37:56
161,mil'kovo,55.6078,37.7956,15.35,74,98,3.69,RU,2024-08-02 00:37:57
162,barah,13.7,30.3667,24.41,74,82,5.45,SD,2024-08-02 00:37:58
163,saurimo,-9.6608,20.3916,16.4,25,3,1.81,AO,2024-08-02 00:37:59
164,islamkot,24.6997,70.177,28.1,85,100,8.59,PK,2024-08-02 00:38:00
165,wailua homesteads,22.0669,-159.378,27.44,65,20,5.14,US,2024-08-02 00:38:01
166,whitehorse,60.7161,-135.0538,17.79,55,75,5.14,CA,2024-08-02 00:38:02
167,las amilpas,16.3667,-94.6167,27.56,79,22,5.35,MX,2024-08-02 00:38:03
168,linxia chengguanzhen,35.6003,103.2064,17.64,74,100,3.45,CN,2024-08-02 00:38:05
169,malakwal,32.5536,73.2123,28.86,72,9,1.54,PK,2024-08-02 00:38:06
170,pico truncado,-46.7949,-67.9573,8.07,86,100,4.36,AR,2024-08-02 00:38:07
171,nova sintra,14.8667,-24.7167,24.96,74,66,6.7,CV,2024-08-02 00:38:08
172,codrington,-38.2667,141.9667,11.14,59,100,8.14,AU,2024-08-02 00:38:09
173,nerchinsk,51.9833,116.5833,23.24,21,7,3.1,RU,2024-08-02 00:38:10
